City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,outjo,-20.1167,16.15,18.39,58,7,2.51,NA,1680489778
320,guerrero negro,27.9769,-114.0611,14.13,77,11,7.77,MX,1680489778
321,verkhoyansk,67.5447,133.385,-5.76,73,100,7.37,RU,1680489778
322,matara,5.9485,80.5353,26.99,80,6,1.19,LK,1680489778
323,necochea,-38.5473,-58.7368,16.48,68,100,2.27,AR,1680489779
324,kavaratti,10.5669,72.642,27.59,69,25,3.33,IN,1680489779
325,alta floresta,-9.8756,-56.0861,21.15,99,100,1.76,BR,1680489779
326,flinders,-34.5833,150.8552,25.21,69,13,1.79,AU,1680489780
327,hirara,24.8,125.2833,24.92,53,20,6.17,JP,1680489549
328,da lat,11.9465,108.4419,26.91,36,32,0.81,VN,1680489780
329,srednekolymsk,67.45,153.6833,-13.63,73,10,2.72,RU,1680489780
330,saurimo,-9.6608,20.3916,17.17,96,100,1.42,AO,1680489780
331,pakpattan,30.341,73.3866,21.03,71,76,4.17,PK,1680489781
332,richards bay,-28.783,32.0377,22.41,82,46,6.89,ZA,1680489781
333,mandali,33.7499,45.5541,13.01,46,9,2.48,IQ,1680489781
334,lazurne,46.084,32.5295,7.67,96,100,6.14,UA,1680489782
335,shirokiy,49.758,129.523,17.7,23,100,8.75,RU,1680489783
336,pochutla,15.7432,-96.4661,27.68,74,10,2.71,MX,1680489783
337,vao,-22.6667,167.4833,25.92,80,13,3.92,NC,1680489784
338,nemuro,43.3236,145.575,2.77,63,0,4.29,JP,1680489784
339,mecca,21.4267,39.8261,20.2,56,71,1.08,SA,1680489785
340,chernyshevskiy,63.0128,112.4714,-7.31,89,100,5.36,RU,1680489785
341,champerico,14.3,-91.9167,28.43,70,26,2.42,GT,1680489786
342,bathsheba,13.2167,-59.5167,26.34,73,75,8.75,BB,1680489786
343,pangkalanbuun,-2.6833,111.6167,32.01,53,92,1.31,ID,1680489787
344,buzovna,40.5179,50.1139,8.05,93,100,2.06,AZ,1680489787
345,york,40.1254,-77.0,5.55,50,0,0.0,US,1680489559
346,kushiro,42.975,144.3747,8.53,39,0,3.09,JP,1680489788
347,polson,47.6936,-114.1632,0.96,79,39,1.58,US,1680489788
348,lata,40.1629,-8.3327,7.82,66,66,1.36,PT,1680489789
349,kibre mengist,5.8833,38.9833,13.87,93,99,1.13,ET,1680489789
350,north bend,43.4065,-124.2243,5.6,90,75,4.63,US,1680489790
351,kilosa,-6.8333,36.9833,20.54,98,100,0.79,TZ,1680489790
352,cortez,37.3489,-108.5859,9.42,35,0,2.06,US,1680489790
353,bauchi,10.5,10.0,21.72,14,4,2.41,NG,1680489791
354,rumphi,-11.0186,33.8575,16.52,97,60,0.76,MW,1680489791
355,mwingi,-0.9344,38.0601,18.28,96,47,1.5,KE,1680489792
356,boyolangu,-8.1181,111.8935,26.33,81,100,1.72,ID,1680489792
357,kopanskaya,46.2779,38.4795,7.75,89,95,5.11,RU,1680489793
358,balykshi,47.0667,51.8667,4.0,93,40,0.0,KZ,1680489793
359,sinnamary,5.3833,-52.95,24.59,85,36,3.82,GF,1680489793
360,borsad,22.4167,72.9,24.02,41,2,2.67,IN,1680489794
361,newton,42.337,-71.2092,3.21,32,0,4.12,US,1680489741
362,vavozh,56.7751,51.931,3.0,86,100,2.63,RU,1680489795
363,praya,14.9215,-23.5087,22.1,81,0,4.72,CV,1680489795
364,kemin,42.7846,75.6892,11.15,25,0,3.91,KG,1680489796
365,luena,-11.7833,19.9167,16.3,98,99,0.8,AO,1680489796
366,port hardy,50.6996,-127.4199,6.1,65,40,5.14,CA,1680489734
